player_id,web_name,team,position,gw,horizon_index,was_home,opponent_team_id,fixture_difficulty,forecast_points
70,Kluivert,Bournemouth,MID,6,4,0,6,4.0,2.17
70,Kluivert,Bournemouth,MID,7,5,1,20,2.0,4.983
71,Cook,Bournemouth,MID,3,1,0,17,3.0,2.141
71,Cook,Bournemouth,MID,4,2,1,4,3.0,2.405
71,Cook,Bournemouth,MID,5,3,1,14,4.0,2.351
71,Cook,Bournemouth,MID,6,4,0,6,4.0,2.192
71,Cook,Bournemouth,MID,7,5,1,20,2.0,2.556
72,Gannon-Doak,Bournemouth,MID,3,1,0,17,3.0,0.727
72,Gannon-Doak,Bournemouth,MID,4,2,1,4,3.0,0.8
72,Gannon-Doak,Bournemouth,MID,5,3,1,14,4.0,0.831
72,Gannon-Doak,Bournemouth,MID,6,4,0,6,4.0,0.769
72,Gannon-Doak,Bournemouth,MID,7,5,1,20,2.0,0.76
73,Adams,Bournemouth,MID,3,1,0,17,3.0,0.785
73,Adams,Bournemouth,MID,4,2,1,4,3.0,0.803
73,Adams,Bournemouth,MID,5,3,1,14,4.0,0.863
73,Adams,Bournemouth,MID,6,4,0,6,4.0,0.854
73,Adams,Bournemouth,MID,7,5,1,20,2.0,1.014
